,year.FRP,FRP,Uniq_ID,sample_day,infection_status,maturity,Holding_Tank,Low_Tag,High_Tag,sample,temp_trtmnt,treatment_tank,where,tube_number,Comments,death,comments,CW,SC,CH,Test_Date.x,Original_sample_conc_ng.ul.x,volume_ul,tyield_ng,RNA_iso_no_Qubit,Test_Date.y,Qubit_tube_conc_ng.ul,Original_sample_conc_ng.ul.y,lyophilizer
1,2017-6101,6101,6101_84_9,9,0,I,7A,3001,3035,NA,cold,1,drain end,84,,,,115.7,3,20.4,NA,NA,NA,NA,,NA,NA,NA,
2,2017-6101,6101,6101_206_12,12,0,I,1C,3001,3035,NA,cold,1,,206,,,,115.7,3,20.4,NA,NA,NA,NA,,NA,NA,NA,
3,2017-6101,6101,6101_415_26,26,0,I,1C,3001,3035,NA,cold,1,,415,,,,115.7,3,20.4,NA,NA,NA,NA,,8/9/18 13:02,Out of range,Out of range,
4,2017-6102,6102,6102_18_9,9,0,I,8A,3004,3219,NA,cold,2,drain end,18,,,,110.4,4,15.4,NA,NA,NA,NA,,NA,NA,NA,
5,2017-6102,6102,6102_236_12,12,0,I,2C,3004,3219,NA,cold,2,,236,,,,110.4,4,15.4,NA,NA,NA,NA,,NA,NA,NA,
6,2017-6102,6102,6102_439_26,26,0,I,2C,3004,3219,NA,cold,2,,439,,,,110.4,4,15.4,NA,NA,NA,NA,,8/9/18 13:03,34.7,6.94,
7,2017-6103,6103,6103_46_9,9,1,I,9A,3007,3119,NA,cold,1,drain end,46,3007/3291,,,83.5,3,10.8,4/3/18 15:08,5.04,NA,NA,,NA,NA,NA,
8,2017-6103,6103,6103_215_12,12,1,I,1C,3007,3119,NA,cold,1,,215,3007/3291,,,83.5,3,10.8,4/23/18 17:41,6.68,NA,NA,,NA,NA,NA,
9,2017-6103,6103,6103_409_26,26,1,I,1C,3007,3119,NA,cold,1,,409,,,,83.5,3,10.8,4/23/18 17:41,8.04,NA,NA,,NA,NA,NA,
10,2017-6104,6104,6104_41_9,9,0,I,9A,3008,3472,NA,cold,3,drain end,41,,,,81.6,3,11,NA,NA,NA,NA,,NA,NA,NA,
11,2017-6104,6104,6104_259_12,12,0,I,3C,3008,3472,NA,cold,3,,259,,,,81.6,3,11,NA,NA,NA,NA,,NA,NA,NA,
12,2017-6104,6104,6104_458_26,26,0,I,3C,3008,3472,NA,cold,3,,458,,,,81.6,3,11,NA,NA,NA,NA,,NA,NA,NA,y
13,2017-6105,6105,6105_43_9,9,1,I,9A,3019,3504,NA,cold,2,drain end,43,,,,119.8,3,19.2,NA,NA,NA,NA,,NA,NA,NA,
14,2017-6105,6105,6105_234_12,12,1,I,2C,3019,3504,NA,cold,2,,234,,,,119.8,3,19.2,NA,NA,NA,NA,,NA,NA,NA,
15,2017-6105,6105,6105_438_26,26,1,I,2C,3019,3504,NA,cold,2,,438,,,,119.8,3,19.2,NA,NA,NA,NA,,NA,NA,NA,
16,2017-6106,6106,6106_5_9,9,0,M,8A,3020,3509,NA,cold,3,drain end,5,,,,113.8,3,20.5,NA,NA,NA,NA,,NA,NA,NA,
17,2017-6106,6106,6106_241_12,12,0,M,3C,3020,3509,NA,cold,3,,241,,,,113.8,3,20.5,NA,NA,NA,NA,,NA,NA,NA,
18,2017-6106,6106,6106_450_26,26,0,M,3C,3020,3509,NA,cold,3,,450,,,,113.8,3,20.5,NA,NA,NA,NA,,8/9/18 13:03,Out of range,Out of range,
19,2017-6107,6107,6107_115_9,9,0,M,3C,3024,3597,NA,ambient,7,drain end,115,,,,132.9,4,29.7,NA,NA,NA,NA,,NA,NA,NA,
20,2017-6107,6107,6107_350_12,12,0,M,7A,3024,3597,NA,ambient,7,,350,,,,132.9,4,29.7,NA,NA,NA,NA,,NA,NA,NA,
21,2017-6107,6107,6107_471_26,26,0,M,7A,3024,3597,NA,ambient,7,,471,,,,132.9,4,29.7,NA,NA,NA,NA,,NA,NA,NA,
22,2017-6108,6108,6108_6_9,9,1,I,8A,3032,3442,NA,cold,3,drain end,6,,,,131.9,3,19.6,NA,NA,NA,NA,,NA,NA,NA,
23,2017-6108,6108,6108_255_12,12,1,I,3C,3032,3442,NA,cold,3,,255,,,,131.9,3,19.6,NA,NA,NA,NA,,NA,NA,NA,
